product_id,sku,original_filename,export_filename,size_bytes,width,height,status,format
P-0213,P-0213,P-0213.jpg,P-0213_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0214,P-0214,P-0214.jpg,P-0214_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0215,P-0215,P-0215.jpg,P-0215_1.jpg,6623,,,READY_FOR_UPLOAD,
P-0216,P-0216,P-0216.jpg,P-0216_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0217,P-0217,P-0217.jpg,P-0217_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0218,P-0218,P-0218.jpg,P-0218_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0219,P-0219,P-0219.jpg,P-0219_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0220,P-0220,P-0220.jpg,P-0220_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0221,P-0221,P-0221.jpg,P-0221_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0222,P-0222,P-0222.jpg,P-0222_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0223,P-0223,P-0223.jpg,P-0223_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0224,P-0224,P-0224.jpg,P-0224_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0225,P-0225,P-0225.jpg,P-0225_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0226,P-0226,P-0226.jpg,P-0226_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0227,P-0227,P-0227.jpg,P-0227_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0228,P-0228,P-0228.jpg,P-0228_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0229,P-0229,P-0229.jpg,P-0229_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0230,P-0230,P-0230.jpg,P-0230_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0231,P-0231,P-0231.jpg,P-0231_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0232,P-0232,P-0232.jpg,P-0232_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0233,P-0233,P-0233.jpg,P-0233_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0234,P-0234,P-0234.jpg,P-0234_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0235,P-0235,P-0235.jpg,P-0235_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0236,P-0236,P-0236.jpg,P-0236_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0237,P-0237,P-0237.jpg,P-0237_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0238,P-0238,P-0238.jpg,P-0238_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0239,P-0239,P-0239.jpg,P-0239_1.jpg,6619,,,READY_FOR_UPLOAD,
P-0240,P-0240,P-0240.jpg,P-0240_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0241,P-0241,P-0241.jpg,P-0241_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0242,P-0242,P-0242.jpg,P-0242_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0243,P-0243,P-0243.jpg,P-0243_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0244,P-0244,P-0244.jpg,P-0244_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0247,P-0247,P-0247.jpg,P-0247_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0250,P-0250,P-0250.jpg,P-0250_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0251,P-0251,P-0251.jpg,P-0251_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0252,P-0252,P-0252.jpg,P-0252_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0253,P-0253,P-0253.jpg,P-0253_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0254,P-0254,P-0254.jpg,P-0254_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0255,P-0255,P-0255.jpg,P-0255_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0256,P-0256,P-0256.jpg,P-0256_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0257,P-0257,P-0257.jpg,P-0257_1.jpg,6623,,,READY_FOR_UPLOAD,
P-0258,P-0258,P-0258.jpg,P-0258_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0259,P-0259,P-0259.jpg,P-0259_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0261,P-0261,P-0261.jpg,P-0261_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0262,P-0262,P-0262.jpg,P-0262_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0263,P-0263,P-0263.jpg,P-0263_1.jpg,6623,,,READY_FOR_UPLOAD,
P-0264,P-0264,P-0264.jpg,P-0264_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0265,P-0265,P-0265.jpg,P-0265_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0266,P-0266,P-0266.jpg,P-0266_1.jpg,6610,,,READY_FOR_UPLOAD,
P-0267,P-0267,P-0267.jpg,P-0267_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0268,P-0268,P-0268.jpg,P-0268_1.jpg,6623,,,READY_FOR_UPLOAD,
P-0269,P-0269,P-0269.jpg,P-0269_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0270,P-0270,P-0270.jpg,P-0270_1.jpg,6623,,,READY_FOR_UPLOAD,
P-0271,P-0271,P-0271.jpg,P-0271_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0272,P-0272,P-0272.jpg,P-0272_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0273,P-0273,P-0273.jpg,P-0273_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0274,P-0274,P-0274.jpg,P-0274_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0275,P-0275,P-0275.jpg,P-0275_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0276,P-0276,P-0276.jpg,P-0276_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0277,P-0277,P-0277.jpg,P-0277_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0278,P-0278,P-0278.jpg,P-0278_1.jpg,6609,,,READY_FOR_UPLOAD,
P-0279,P-0279,P-0279.jpg,P-0279_1.jpg,6623,,,READY_FOR_UPLOAD,
P-0280,P-0280,P-0280.jpg,P-0280_1.jpg,6608,,,READY_FOR_UPLOAD,
P-0281,P-0281,P-0281.jpg,P-0281_1.jpg,6623,,,READY_FOR_UPLOAD,
P-0282,P-0282,P-0282.jpg,P-0282_1.jpg,6619,,,READY_FOR_UPLOAD,
